"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Josh Allen","BUF","605.4","400.4","4,575.8","33.9","13.3","110.8","519.7","7.6","5.1","379.6"
"Patrick Mahomes II","KC","631.9","419.9","5,039.2","38.5","8.9","55.2","267.2","2.9","2.5","377.1"
"Kyler Murray","ARI","588.9","389.9","4,200.3","26.7","12.9","125.7","698.2","7.7","3.7","357.4"
"Lamar Jackson","BAL","462.2","296.3","3,383.4","28.6","12.2","152.9","920.9","6.7","4.0","349.5"
"Dak Prescott","DAL","622.2","415.6","4,841.6","31.0","11.1","63.5","296.7","4.0","4.2","341.0"
"Aaron Rodgers","GB","572.8","386.2","4,455.2","36.8","7.2","41.0","174.0","1.9","3.1","333.6"
"Russell Wilson","SEA","570.2","380.5","4,246.2","34.4","12.3","82.8","447.0","2.1","3.5","332.9"
"Justin Herbert","LAC","617.6","402.0","4,610.9","31.0","12.0","61.5","273.6","4.3","2.6","332.7"
"Tom Brady","TB","621.4","404.8","4,701.1","36.7","11.9","24.4","31.7","2.0","2.2","322.3"
"Jalen Hurts","PHI","536.8","328.2","3,706.5","22.5","14.4","136.1","702.2","5.8","4.8","305.1"
"Ryan Tannehill","TEN","531.3","351.5","4,154.9","30.5","10.5","51.6","227.7","3.5","2.9","305.0"
"Joe Burrow","CIN","611.4","399.5","4,309.8","26.4","11.7","54.3","228.2","3.0","4.2","287.2"
"Matthew Stafford","LAR","613.6","406.0","4,571.0","28.7","11.5","33.3","126.3","0.7","3.2","285.0"
"Trevor Lawrence","JAC","591.8","379.2","4,148.6","24.6","13.3","66.8","342.1","2.3","5.2","275.6"
"Kirk Cousins","MIN","542.7","364.8","4,280.4","30.0","13.0","35.3","114.3","1.1","4.1","274.9"
"Matt Ryan","ATL","613.9","401.6","4,517.0","26.7","13.0","33.2","119.3","1.4","4.3","273.1"
"Derek Carr","LV","565.0","374.2","4,309.6","26.6","10.9","31.5","110.5","1.8","5.3","268.4"
"Tua Tagovailoa","MIA","574.3","374.5","3,949.4","25.9","13.5","54.3","205.7","2.7","1.7","267.9"
"Baker Mayfield","CLE","537.0","342.9","3,943.8","27.9","11.4","44.1","168.1","1.8","3.3","267.5"
"Carson Wentz","IND","554.7","347.9","3,826.0","25.8","13.5","63.0","275.5","3.1","5.8","264.0"
"Ben Roethlisberger","PIT","619.7","401.9","4,188.4","29.6","14.3","20.8","44.8","0.5","2.2","260.3"
"Daniel Jones","NYG","547.1","342.4","3,755.4","22.8","13.6","70.3","403.7","2.6","8.5","253.6"
"Sam Darnold","CAR","555.3","350.2","3,917.6","22.2","14.7","50.3","219.8","3.3","3.9","249.9"
"Zach Wilson","NYJ","554.0","347.6","3,917.0","21.5","14.9","64.5","306.4","2.3","5.5","246.1"
"Ryan Fitzpatrick","WAS","541.9","358.7","3,848.2","21.9","16.4","47.3","230.7","3.0","2.3","245.5"
"Jared Goff","DET","578.8","370.8","4,151.6","22.7","14.9","39.4","87.9","1.7","4.1","237.6"
"Deshaun Watson","HOU","380.7","258.9","3,089.1","18.0","8.0","59.9","282.0","2.9","3.0","218.8"
"Justin Fields","CHI","391.9","250.4","2,653.3","16.7","9.9","61.1","307.6","2.5","4.5","190.2"
"Cam Newton","NE","304.5","200.8","2,216.8","12.9","9.1","81.7","354.6","5.7","1.8","187.9"
"Jameis Winston","NO","383.0","248.1","2,803.3","19.1","12.7","38.1","161.8","0.9","3.9","177.1"
"Trey Lance","SF","300.7","196.0","2,280.6","14.7","8.3","57.9","296.7","2.7","4.0","171.0"
"Teddy Bridgewater","DEN","291.3","185.4","2,096.5","12.7","9.1","31.7","135.9","1.7","1.7","137.0"
"Taysom Hill","NO","183.4","122.4","1,286.7","7.5","4.9","75.6","398.0","4.5","3.4","132.1"
"Jimmy Garoppolo","SF","274.1","185.9","2,167.8","13.0","7.1","15.5","39.1","0.5","1.2","129.2"
"Drew Lock","DEN","263.4","155.5","1,785.2","10.9","7.6","28.2","111.7","1.0","2.4","112.3"
"Tyrod Taylor","HOU","243.7","149.5","1,692.9","9.2","4.8","26.7","124.4","1.0","1.1","111.1"
"Mac Jones","NE","217.8","137.0","1,539.7","9.1","6.2","18.6","68.8","0.9","1.2","95.3"
"Andy Dalton","CHI","209.5","133.7","1,440.4","8.4","5.0","13.1","44.0","0.5","0.8","87.4"
"Davis Mills","HOU","122.0","76.6","886.0","4.7","3.1","8.2","34.4","0.4","0.8","52.4"
"Taylor Heinicke","WAS","65.8","41.2","464.4","2.9","0.6","5.7","22.7","0.1","0.2","31.1"
"Jacob Eason","IND","50.3","31.1","337.2","2.4","1.4","4.6","19.5","0.2","0.2","23.0"
"James Morgan","NYJ","47.2","28.7","328.8","1.7","1.3","1.9","8.3","0.1","0.3","17.8"
"Kyle Trask","TB","34.6","21.3","246.9","1.8","0.7","1.3","5.1","0.0","0.2","16.2"
"Mason Rudolph","PIT","35.8","22.2","244.5","1.5","0.9","2.8","9.3","0.1","0.2","14.7"
"Jacoby Brissett","MIA","32.0","20.1","227.3","1.1","0.5","4.3","14.1","0.2","0.3","14.3"
"Phillip Walker","CAR","39.5","25.0","286.5","1.0","1.0","2.0","6.1","0.1","0.5","13.3"
"Tim Boyle","DET","26.3","16.3","181.3","1.0","0.3","2.7","3.3","0.0","0.0","10.9"
"Kellen Mond","MIN","20.9","13.2","152.5","1.1","0.4","1.7","7.8","0.1","0.1","10.7"
"Joe Flacco","PHI","30.5","19.1","203.4","1.0","0.8","2.4","9.8","0.1","0.7","10.6"
"Gardner Minshew II","JAC","22.9","15.1","159.9","1.1","0.5","2.4","11.9","0.0","0.6","9.7"
"Marcus Mariota","LV","21.4","13.3","151.9","0.8","0.7","3.4","17.8","0.0","0.1","9.6"
"Mitchell Trubisky","BUF","18.3","12.1","134.7","0.9","0.7","3.6","15.2","0.1","0.1","9.3"
"Chad Henne","KC","21.3","13.3","152.3","0.7","0.2","1.3","5.8","0.0","0.1","9.0"
"Trace McSorley","BAL","18.0","11.1","124.8","0.7","0.5","3.3","14.4","0.1","0.1","8.5"
"John Wolford","LAR","21.9","13.7","150.8","0.6","0.4","1.8","9.1","0.0","0.1","8.3"
"Garrett Gilbert","DAL","20.2","12.6","142.7","0.6","0.4","1.5","6.2","0.0","0.1","7.9"
"Geno Smith","SEA","17.4","11.0","121.8","0.9","0.3","1.3","2.5","0.0","0.2","7.7"
"Brandon Allen","CIN","20.9","13.2","144.0","0.6","0.5","1.3","5.1","0.0","0.1","7.6"
"Jordan Love","GB","15.6","9.6","108.1","0.9","0.3","0.7","3.1","0.0","0.1","7.3"
"Chase Daniel","LAC","18.5","11.6","131.8","0.6","0.5","1.5","5.8","0.0","0.1","7.2"
"Ian Book","NO","17.0","12.0","120.0","1.0","1.0","1.0","4.0","0.0","0.0","7.2"
"David Blough","DET","18.6","11.3","125.1","0.7","0.6","1.7","6.6","0.0","0.1","7.1"
"Jake Dolegala","NE","16.0","11.0","114.0","1.0","1.0","1.0","5.0","0.0","0.0","7.1"
"Chris Streveler","ARI","15.9","9.4","106.2","0.6","0.5","1.6","6.7","0.1","0.2","6.5"
"Tyler Huntley","BAL","9.5","6.0","67.5","0.5","0.0","3.0","16.0","0.0","0.0","6.3"
"Blaine Gabbert","TB","15.7","9.7","110.3","0.3","0.0","1.3","5.3","0.0","0.0","6.3"
"AJ McCarron","ATL","15.5","9.8","111.0","0.6","0.4","0.5","2.2","0.0","0.2","6.2"
"Mike Glennon","NYG","18.6","11.7","125.2","0.6","0.4","1.2","5.6","0.0","0.6","5.8"
"Colt McCoy","ARI","12.0","8.0","84.5","0.5","0.5","1.5","8.0","0.0","0.0","5.2"
"DeShone Kizer","TEN","12.9","7.7","83.6","0.7","0.4","0.5","1.6","0.0","0.2","5.0"
"Dwayne Haskins","PIT","13.5","8.5","84.0","0.5","0.5","1.5","5.0","0.0","0.0","4.9"
"Logan Woodside","TEN","6.0","4.0","46.5","0.5","0.0","2.5","6.5","0.0","0.0","4.5"
"Case Keenum","CLE","13.0","8.1","92.5","0.6","0.4","0.9","3.6","0.0","0.6","4.4"
"Jarrett Stidham","NE","7.0","4.5","49.0","0.5","0.0","1.5","3.0","0.0","0.0","4.3"
"Nick Mullens","PHI","12.0","6.5","70.5","0.5","0.5","2.0","4.0","0.0","1.0","2.2"
"Kyle Lauletta","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben DiNucci","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Siemian","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Allen","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate Sudfeld","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Will Grier","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Peterman","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joshua Dobbs","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Rypien","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Foles","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"C.J. Beathard","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryan Griffin","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cooper Rush","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devlin Hodges","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Hundley","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Rosen","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Luton","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean Mannion","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""