"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Â ","","",""
"Christian McCaffrey","CAR","297.1","1,301.6","11.9","96.8","785.0","4.3","2.5","349.4"
"Dalvin Cook","MIN","317.2","1,490.3","13.0","54.6","471.8","2.0","2.9","307.2"
"Derrick Henry","TEN","340.9","1,670.3","14.2","24.1","179.5","1.1","2.7","283.4"
"Alvin Kamara","NO","206.9","941.5","9.7","80.3","685.6","3.5","1.9","278.0"
"Saquon Barkley","NYG","266.7","1,204.4","9.1","56.8","440.3","2.0","1.8","256.1"
"Aaron Jones","GB","232.9","1,128.4","10.4","50.6","393.1","2.7","2.1","252.4"
"Ezekiel Elliott","DAL","281.7","1,209.2","9.5","52.8","393.0","2.4","2.9","252.2"
"Jonathan Taylor","IND","271.9","1,254.5","10.5","42.2","321.1","1.6","1.9","247.4"
"Austin Ekeler","LAC","180.7","820.9","4.7","80.1","690.4","4.9","1.6","245.7"
"Nick Chubb","CLE","273.5","1,371.7","11.1","28.6","225.2","1.0","1.9","242.4"
"Joe Mixon","CIN","276.3","1,163.8","8.1","50.1","366.4","2.9","2.0","240.1"
"Najee Harris","PIT","259.4","1,152.3","8.7","49.4","365.7","2.2","2.6","237.0"
"Antonio Gibson","WAS","242.4","1,085.8","9.7","45.5","331.0","1.4","2.1","227.0"
"Clyde Edwards-Helaire","KC","221.8","998.9","7.3","50.6","389.4","2.2","1.8","217.6"
"D'Andre Swift","DET","195.4","870.0","8.0","58.7","435.9","2.1","2.3","215.6"
"Chris Carson","SEA","231.6","1,060.9","7.4","43.3","321.1","2.4","2.1","214.6"
"David Montgomery","CHI","253.5","1,061.2","7.9","39.4","312.2","1.6","2.0","210.1"
"J.K. Dobbins","BAL","212.0","1,076.4","9.4","31.6","240.0","1.2","1.6","207.8"
"Miles Sanders","PHI","222.5","1,065.4","6.6","40.9","336.7","1.6","1.8","206.2"
"Josh Jacobs","LV","251.2","1,073.2","9.5","31.5","236.3","0.9","2.0","204.8"
"Darrell Henderson","LAR","235.1","1,011.5","7.7","32.4","269.0","1.6","1.8","196.8"
"Myles Gaskin","MIA","214.0","909.6","6.0","47.8","370.4","1.9","2.0","195.7"
"Mike Davis","ATL","221.8","877.2","6.5","48.7","311.2","1.7","1.9","188.8"
"Chase Edmonds","ARI","166.8","743.2","4.9","51.6","378.6","2.9","1.5","181.7"
"Travis Etienne","JAC","133.7","595.9","4.1","63.2","500.9","2.6","3.0","175.5"
"Kareem Hunt","CLE","155.7","689.4","5.6","38.5","313.6","2.5","1.3","165.4"
"James Robinson","JAC","182.9","800.4","5.6","30.4","217.3","1.0","1.5","153.5"
"Javonte Williams","DEN","188.3","835.5","5.5","25.9","202.4","1.1","2.0","152.3"
"Raheem Mostert","SF","153.8","766.0","6.0","23.8","206.3","1.3","1.4","150.1"
"David Johnson","HOU","146.4","613.8","4.4","36.7","326.3","2.2","1.5","149.4"
"Damien Harris","NE","210.6","991.6","5.8","11.5","87.9","0.3","1.4","147.6"
"Leonard Fournette","TB","167.1","685.0","6.4","31.0","213.3","0.8","1.2","146.2"
"Zack Moss","BUF","157.1","670.9","5.7","24.5","175.7","0.9","1.2","134.6"
"Melvin Gordon III","DEN","168.9","743.7","5.5","21.5","140.4","1.0","2.4","133.1"
"James Conner","ARI","151.0","676.4","5.8","22.9","160.5","0.7","1.4","131.2"
"Michael Carter","NYJ","154.7","647.0","3.8","31.2","241.3","1.1","1.8","130.6"
"Kenyan Drake","LV","137.4","571.4","4.6","35.1","247.5","0.8","1.4","129.1"
"Jamaal Williams","DET","137.5","566.6","3.5","35.0","239.1","1.2","1.2","124.2"
"Ronald Jones II","TB","162.2","729.0","5.4","16.0","112.8","0.3","1.4","123.6"
"Trey Sermon","SF","140.4","637.4","5.2","19.4","157.3","1.0","1.8","122.4"
"Latavius Murray","NO","141.6","599.3","4.1","25.3","183.8","1.0","1.2","119.0"
"Gus Edwards","BAL","152.2","738.9","5.1","11.0","93.1","0.3","1.3","118.6"
"J.D. McKissic","WAS","65.7","283.8","1.5","56.4","409.6","1.7","0.8","115.6"
"Tony Pollard","DAL","110.7","494.9","3.2","30.6","225.1","1.3","1.2","111.9"
"Devin Singletary","BUF","119.7","528.0","2.9","30.4","214.4","1.2","1.3","111.9"
"James White","NE","52.5","214.7","1.8","52.1","419.4","2.3","1.2","111.4"
"Nyheim Hines","IND","62.3","267.1","1.9","50.2","374.6","2.1","1.2","111.1"
"AJ Dillon","GB","140.8","635.9","4.4","15.2","116.8","0.5","1.4","110.0"
"Tarik Cohen","CHI","58.9","244.8","1.2","48.9","332.2","1.8","1.2","97.5"
"Tevin Coleman","NYJ","130.7","504.3","3.6","17.5","133.0","0.3","1.2","93.5"
"Alexander Mattison","MIN","115.8","520.9","2.7","16.2","132.6","0.6","0.7","92.3"
"Phillip Lindsay","HOU","104.5","461.1","2.7","20.7","132.3","0.3","1.1","85.5"
"Giovani Bernard","TB","55.4","201.5","1.4","35.8","272.0","1.5","0.6","81.1"
"Darrel Williams","KC","79.3","332.0","3.2","20.2","149.1","0.7","0.6","80.9"
"Rashaad Penny","SEA","87.8","409.8","3.0","13.7","108.2","0.7","0.7","79.4"
"Xavier Jones","LAR","94.1","388.6","3.3","12.8","103.8","0.6","1.1","76.5"
"Damien Williams","CHI","69.5","292.4","2.8","19.6","140.0","0.9","0.6","74.3"
"Sony Michel","NE","93.3","413.1","2.6","7.6","65.7","0.4","0.6","68.3"
"Ty Johnson","NYJ","76.2","329.7","2.2","15.3","104.6","0.6","0.3","67.4"
"Malcolm Brown","MIA","80.1","311.6","3.5","10.6","70.5","0.2","0.7","64.4"
"Darrynton Evans","TEN","57.8","249.4","2.0","16.8","136.8","1.0","0.7","63.9"
"Joshua Kelley","LAC","100.2","374.0","2.5","10.5","75.7","0.2","1.7","63.0"
"Boston Scott","PHI","50.0","211.3","1.7","22.0","174.3","0.6","0.6","62.0"
"Qadree Ollison","ATL","79.3","301.2","2.8","9.6","77.4","0.6","0.7","61.6"
"Salvon Ahmed","MIA","74.1","311.8","2.1","12.6","84.3","0.4","0.3","60.3"
"Jeff Wilson Jr.","SF","65.2","286.7","3.4","5.3","48.2","0.6","1.0","58.3"
"Marlon Mack","IND","74.1","314.8","2.6","9.3","65.7","0.2","0.6","58.0"
"Devontae Booker","NYG","77.5","326.8","2.0","10.9","71.0","0.2","0.7","56.9"
"Rex Burkhead","HOU","35.7","150.5","1.4","18.8","171.4","1.3","0.6","56.6"
"Justin Jackson","LAC","69.4","313.1","1.4","13.3","94.6","0.3","0.6","56.6"
"Cordarrelle Patterson","ATL","49.2","225.1","1.4","15.1","133.1","0.7","0.2","55.8"
"Jake Funk","LAR","48.6","202.1","2.2","14.1","113.1","0.5","0.3","54.5"
"Kyle Juszczyk","SF","13.9","52.6","0.7","21.9","230.3","2.0","0.7","53.9"
"DeeJay Dallas","SEA","48.4","193.6","1.6","16.7","122.6","0.9","0.6","53.6"
"Chuba Hubbard","CAR","61.8","261.0","2.0","10.6","86.0","0.4","1.1","52.0"
"Mark Ingram II","HOU","57.6","236.1","1.8","11.0","91.1","0.7","0.6","51.8"
"Rhamondre Stevenson","NE","60.6","263.8","2.1","9.7","73.1","0.4","1.1","51.4"
"Kenneth Gainwell","PHI","54.4","248.4","1.7","11.9","94.0","0.5","1.1","50.9"
"Wayne Gallman","SF","52.9","235.2","2.4","9.2","71.7","0.4","1.0","50.4"
"Larry Rountree III","LAC","57.2","240.6","2.2","9.2","69.8","0.3","0.3","50.0"
"Trayveon Williams","CIN","48.2","206.2","1.3","14.0","112.7","0.5","1.5","46.7"
"Brian Hill","TEN","57.0","285.6","1.2","7.6","55.6","0.2","0.7","45.4"
"Samaje Perine","CIN","51.2","216.4","1.5","9.0","61.4","0.2","0.1","42.2"
"Javian Hawkins","ATL","58.6","241.3","1.9","4.6","35.4","0.1","0.2","41.5"
"Mike Boone","DEN","48.0","228.1","1.8","6.4","43.3","0.1","0.6","40.6"
"Benny Snell Jr.","PIT","59.9","222.1","1.8","6.4","43.4","0.1","0.6","39.9"
"Peyton Barber","WAS","59.1","209.4","2.2","5.0","33.0","0.1","0.6","39.4"
"Matt Breida","BUF","43.6","189.2","1.0","9.6","76.6","0.4","1.1","37.5"
"Jalen Richard","LV","23.7","103.6","0.5","16.3","129.1","0.4","0.6","35.8"
"Carlos Hyde","JAC","52.6","213.6","1.4","6.3","36.6","0.1","0.6","35.7"
"Brandon Bolden","NE","19.4","98.7","2.3","4.9","48.9","0.6","0.0","34.6"
"Jermar Jefferson","DET","27.9","113.8","0.8","10.6","78.6","0.1","0.1","29.9"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","70.0","0.0","0.0","27.5"
"Elijah Mitchell","SF","26.9","124.7","0.8","5.8","52.0","0.2","0.1","26.3"
"Raymond Calais","LAR","29.2","123.0","1.1","4.6","35.4","0.2","0.1","26.1"
"Jaylen Samuels","PIT","26.4","110.6","0.6","7.8","51.9","0.3","0.1","25.8"
"La'Mical Perine","NYJ","32.4","136.7","1.0","4.3","31.4","0.2","0.2","25.3"
"Anthony McFarland Jr.","PIT","30.2","115.8","0.5","5.7","45.1","0.1","0.6","21.6"
"Jerick McKinnon","KC","21.5","95.1","0.4","6.7","48.2","0.2","0.1","21.4"
"Chris Evans","CIN","24.8","98.4","0.5","4.5","33.8","0.2","0.2","18.8"
"Justice Hill","BAL","19.1","87.8","0.6","4.3","30.9","0.1","0.1","18.1"
"Eno Benjamin","ARI","21.9","93.7","0.6","3.4","27.0","0.1","0.1","17.3"
"Ameer Abdullah","MIN","15.4","68.7","0.1","6.3","44.0","0.4","0.0","17.1"
"Kylin Hill","GB","25.2","101.9","0.3","3.7","27.8","0.1","0.1","16.9"
"Dontrell Hilliard","HOU","12.3","44.5","1.0","4.9","36.2","0.0","0.0","16.5"
"Kerryon Johnson","PHI","22.1","86.0","0.5","3.7","29.2","0.1","0.2","16.4"
"Jeremy McNichols","TEN","19.4","87.4","0.3","3.6","22.8","0.0","0.0","14.8"
"Travis Homer","SEA","16.3","68.8","0.3","4.1","30.4","0.1","0.1","14.3"
"Trey Edmunds","PIT","14.8","64.0","0.4","3.9","25.8","0.2","0.0","14.3"
"Lamar Miller","WAS","14.9","61.5","0.8","2.4","18.9","0.0","0.0","14.2"
"Patrick Ricard","BAL","0.9","1.4","0.0","8.5","58.1","0.8","0.5","14.0"
"Gerrid Doaks","MIA","12.2","51.0","0.4","4.4","32.7","0.1","0.1","13.8"
"JaMycal Hasty","SF","15.1","77.6","0.4","2.2","15.1","0.1","0.0","13.4"
"Alec Ingold","LV","4.5","18.8","0.2","6.6","54.5","0.3","0.1","13.1"
"Jordan Howard","PHI","14.9","64.4","1.0","0.4","4.6","0.0","0.0","13.1"
"Ke'Shawn Vaughn","TB","15.0","63.7","0.5","2.3","16.5","0.1","0.0","12.7"
"D'Ernest Johnson","CLE","18.2","78.0","0.4","2.3","16.9","0.0","0.1","12.7"
"C.J. Ham","MIN","4.8","20.0","0.2","5.9","49.8","0.3","0.1","12.6"
"Gary Brightwell","NYG","20.0","88.0","0.0","3.0","22.0","0.0","0.0","12.5"
"Royce Freeman","DEN","14.3","59.9","0.4","3.2","20.0","0.1","0.0","12.4"
"Jordan Wilkins","IND","14.6","71.2","0.4","1.7","12.6","0.1","0.0","12.3"
"Devonta Freeman","NO","9.1","37.1","0.3","4.2","33.8","0.2","0.0","12.3"
"Ito Smith","ARI","9.5","39.9","0.3","4.7","30.3","0.2","0.0","12.2"
"D'Onta Foreman","ATL","16.8","70.6","0.4","1.4","10.0","0.0","0.0","11.4"
"J.J. Taylor","NE","13.9","59.1","0.4","1.9","14.9","0.0","0.0","10.9"
"Kene Nwangwu","MIN","16.3","65.8","0.2","2.5","18.2","0.0","0.1","10.8"
"Khalil Herbert","CHI","9.7","40.4","0.3","2.8","22.0","0.1","0.1","9.7"
"Tony Brooks-James","PIT","15.3","65.2","0.2","1.4","11.1","0.0","0.0","9.5"
"Alex Armah","NO","4.2","17.4","0.2","4.2","34.7","0.2","0.1","9.4"
"Reggie Bonnafon","CAR","14.3","52.3","0.1","2.9","21.5","0.0","0.0","9.4"
"Ty Montgomery","NO","14.5","51.0","0.0","3.4","23.9","0.0","0.0","9.2"
"Demetric Felton","CLE","9.3","39.5","0.4","1.9","15.2","0.1","0.0","9.1"
"Andrew Beck","DEN","4.9","21.3","0.2","4.1","28.1","0.2","0.0","9.0"
"Buddy Howell","HOU","4.0","17.1","0.2","4.1","29.2","0.2","0.0","8.6"
"Rico Dowdle","DAL","6.8","29.0","0.2","2.9","22.7","0.1","0.1","8.4"
"Nick Bellore","SEA","1.5","6.7","0.0","4.4","31.4","0.3","0.0","8.0"
"Gabe Nabers","LAC","3.3","14.4","0.1","3.2","25.0","0.2","0.1","7.4"
"Keith Smith","ATL","3.2","13.7","0.1","3.4","26.1","0.2","0.1","7.2"
"Andy Janovich","CLE","1.0","4.3","0.0","3.9","32.6","0.2","0.0","6.8"
"Alfred Morris","NYG","7.3","30.2","0.2","1.5","10.4","0.0","0.0","6.1"
"Kalen Ballage","PIT","7.0","27.6","0.2","1.8","11.7","0.0","0.1","6.1"
"Trenton Cannon","CAR","4.1","17.0","0.1","2.5","19.2","0.1","0.0","6.0"
"Ben Mason","BAL","0.0","0.0","0.0","3.4","27.7","0.2","0.0","5.9"
"Darwin Thompson","KC","6.6","26.1","0.1","1.8","13.8","0.0","0.0","5.7"
"Antonio Williams","BUF","8.0","34.1","0.3","0.4","3.2","0.0","0.0","5.4"
"Derek Watt","PIT","4.2","18.1","0.2","1.7","12.2","0.1","0.0","5.2"
"Alex Collins","SEA","4.8","20.3","0.2","1.4","10.6","0.1","0.1","5.1"
"Michael Burton","KC","3.3","14.0","0.1","1.8","14.8","0.1","0.0","4.9"
"Dwayne Washington","NO","4.7","20.0","0.1","1.5","11.6","0.0","0.0","4.7"
"Josh Adams","NYJ","5.1","22.1","0.2","0.9","6.1","0.0","0.0","4.3"
"Khari Blasingame","TEN","0.5","2.1","0.0","2.3","19.3","0.1","0.0","3.8"
"Devine Ozigbo","JAC","2.9","12.3","0.1","1.5","11.6","0.0","0.0","3.7"
"Elijhaa Penny","NYG","2.5","10.3","0.1","1.5","10.9","0.0","0.0","3.5"
"Corey Clement","NYG","4.2","17.7","0.2","0.5","3.6","0.0","0.0","3.4"
"Jakob Johnson","NE","0.0","0.0","0.0","2.2","19.0","0.1","0.0","3.3"
"Dexter Williams","GB","4.4","18.6","0.2","0.4","3.1","0.0","0.0","3.2"
"Dare Ogunbowale","JAC","2.1","8.9","0.0","1.4","9.4","0.0","0.0","2.5"
"Jonathan Williams","WAS","2.3","9.8","0.0","0.9","7.0","0.0","0.0","2.1"
"Patrick Laird","MIA","1.5","6.4","0.0","0.9","5.5","0.0","0.0","1.6"
"Taiwan Jones","BUF","1.1","4.7","0.0","0.9","7.0","0.0","0.0","1.6"
"C.J. Prosise","TB","0.9","3.6","0.0","1.0","7.0","0.0","0.0","1.5"
"Elijah McGuire","KC","0.9","3.5","0.0","0.9","7.2","0.0","0.0","1.5"
"Ryan Nall","CHI","0.9","3.9","0.0","0.9","6.3","0.0","0.0","1.4"
"Artavis Pierce","CHI","0.9","3.9","0.0","0.9","6.2","0.0","0.0","1.4"
"Jason Cabinda","DET","0.8","3.5","0.0","1.0","6.1","0.0","0.0","1.4"
"Jason Huntley","PHI","0.9","3.9","0.0","0.9","6.1","0.0","0.0","1.4"
"Adrian Killins Jr.","PHI","0.9","3.9","0.0","0.9","6.1","0.0","0.0","1.4"
"Austin Walter","NYJ","0.9","3.6","0.0","0.9","6.3","0.0","0.0","1.4"
"Nathan Cottrell","JAC","0.9","3.6","0.0","0.9","6.2","0.0","0.0","1.4"
"LeVante Bellamy","DEN","1.0","4.4","0.0","0.9","5.5","0.0","0.0","1.4"
"Damarea Crockett","DEN","1.0","4.2","0.0","0.9","5.5","0.0","0.0","1.4"
"Scottie Phillips","HOU","0.8","3.5","0.0","0.9","6.1","0.0","0.0","1.4"
"Jordan Scarlett","MIA","0.9","3.9","0.0","0.9","5.3","0.0","0.0","1.3"
"Taquan Mizzell","NYG","0.9","3.7","0.0","0.9","5.4","0.0","0.0","1.3"
"Cullen Gillaspia","NYG","0.9","3.7","0.0","0.9","5.2","0.0","0.0","1.3"
"Tony Jones Jr.","NO","0.9","0.7","0.0","0.2","0.4","0.0","0.0","0.2"
""
""